Argument ID	Part	Usage	Conclusion	Stance	Premise
A05075	usa	train	We should adopt an austerity regime	against	people should not have to endure higher taxes to pay for the government's inefficiency.
A05076	usa	train	We should subsidize space exploration	in favor of	there is so much more to explore and learn about space that subsidising space exploration would bring us closer to learning and understanding what is beyond our planet.
A05077	usa	train	We should subsidize journalism	against	We should not subsidize journalism because there is already sufficient coverage of major issues from different viewpoints without government action.
A05078	usa	train	Social media brings more harm than good	in favor of	social media brings more harm than good because it causes people to judge themselves too harshly in comparison of the seemingly perfect lives of others online.
A05079	usa	train	Foster care brings more harm than good	in favor of	many children in the foster care system have issues that can destroy a family.
A05080	usa	train	We should ban telemarketing	against	We should not ban telemarketing as it it allows people to learn about new products or services from the comfort of their own homes.
A05081	usa	train	We should abolish capital punishment	against	We should not abolish capital punishment because if the criminal done with their time in jail they may commit far more serious crime again because some criminal cannot be rehabilitated
A05082	usa	train	We should ban algorithmic trading	in favor of	algorithmic trading should be banned because it gives some people an unfair advantage.
A05083	usa	train	We should legalize prostitution	in favor of	legalising prostitution will ensure the safety of both the sex trade worker and client
A05084	usa	train	The vow of celibacy should be abandoned	in favor of	we should abandon the vow of celibacy because if people dont have sex they can get frustrated and might take it out on other people
A05086	usa	train	We should ban telemarketing	in favor of	telemarketing is intrusive, annoying and violates privacy
A05087	usa	train	We should end mandatory retirement	in favor of	We should end mandatory retirement because it removes people who are knowledgeable and skilled from jobs that they are good at.
A05088	usa	train	We should abandon the use of school uniform	in favor of	if you are not required to wear a uniform, you are free to choose clothing styles that are more favorable to your body type and coloring, which allows you to look your best
A05090	usa	train	We should abandon the use of school uniform	in favor of	forcing children into wearing school uniforms shows our children that they cannot think as individuals and must conform to societies way of thinking.
A05091	usa	train	We should fight for the abolition of nuclear weapons	against	Nuclear weapons can bring about a certain level of respect
A05092	usa	train	We should ban the Church of Scientology	in favor of	scientology is actually a wealthy cult and members are abused physically and financially.
A05093	usa	train	We should ban the use of child actors	in favor of	child actors lose the sense of a proper childhood.
A05095	usa	train	We should abolish the three-strikes laws	against	we need the three strikes as a deterrent
A05096	usa	train	We should prohibit school prayer	against	a non-denominational school prayer is about as bad as reciting the pledge of allegiance in school, and should be allowed.
A05097	usa	train	We should adopt a zero-tolerance policy in schools	in favor of	children need to learn boundaries and consequences for their actions. they learn faster if there is immediate repercussions than if you let them do it over and over again.
A05098	usa	train	We should limit executive compensation	against	We should not limit executive compensation as they should get the salary equal to their contribution to the organisation.
A05099	usa	train	We should abolish the right to keep and bear arms	in favor of	it will decrease the number of crimes and violence on the streets
A05100	usa	train	Surrogacy should be banned	against	surrogacy shouldn't be banned because sometimes there is a health issue preventing a perfectly good mother from having a baby. she deserves to have a child and a surrogate is the only way to do that.
A06001	usa	train	The vow of celibacy should be abandoned	against	keeping moral strength is important to society and refraining from sex is one way to do it
A06002	usa	train	We should end the use of economic sanctions	against	economic sanctions are often a proportional punishment
A06003	usa	train	We should stop the development of autonomous cars	in favor of	autonomous cars are prohibitively expensive
A06004	usa	train	We should abandon the use of school uniform	in favor of	school uniforms cost a lot and might not be affordable for everyone
A06005	usa	train	We should end mandatory retirement	against	Mandatory retirement lets companies more easily make space for new workers that have more of an incentive to work hard at a new job.
A06006	usa	train	We should fight urbanization	in favor of	urbanization is killing off habitats and therefore, animals overall
A06007	usa	train	We should legalize polygamy	in favor of	polygamy can lead to more stable households, as there will be more adults per child than in typical two-parent houses.
A06008	usa	train	We should adopt a zero-tolerance policy in schools	in favor of	a zero tolerance policy at school is a good idea because children need to be disciplined as it might cut crime in the future.
A06010	usa	train	We should abolish safe spaces	in favor of	Safe spaces stifle dialogue about controversial topics, such as race, gender and religion.
A06011	usa	train	We should end the use of economic sanctions	in favor of	economic sanctions are unethical to the economies of smaller, underdeveloped countries.
A06012	usa	train	We should ban naturopathy	in favor of	We should ban naturopathy since currently it's a field that has very little supervision, and the results of people believing and using it could be devastating to their health and to society as a whole.
A06013	usa	train	Surrogacy should be banned	in favor of	a surrogate carrying a baby could try to keep it since they gave birth to it.
A06014	usa	train	Social media brings more harm than good	against	social media itself is not the cause of the negative consequences, it is human nature. the platform merely provides unrivaled access to information and potential connections with other people
A06015	usa	train	We should ban the use of child actors	in favor of	we should ban the use of child actors since it puts so much pressure on them. they should be growing up with a stable life and just enjoy being a kid.
A06016	usa	train	The use of public defenders should be mandatory	in favor of	if everyone had to use a public defender, it would be fairer as their representation would not be dependent on their income.
A06019	usa	train	We should legalize prostitution	in favor of	prostitution should be legal as it can be controlled & monitored easier & be less dangerous
A06020	usa	train	We should cancel pride parades	against	pride marches are a crucial part of gay visibility and the fight for equality. ensuring that the fight against injustice continues, especially in countries where homosexuality is still a criminal offense.
A07001	usa	train	We should cancel pride parades	against	pride parades allow people to make connections and widen their social circles.
A07002	usa	train	We should end affirmative action	in favor of	we should end affirmative action because it is a way of reverse  discrimination because it still singles out certain people and groups
A07003	usa	train	We should subsidize stay-at-home dads	against	any system that rewards parenthood is often abused by lower income families and this leads to more systemic and societal failure.
A07004	usa	train	We should prohibit women in combat	in favor of	women do not have the physical abilities that men do, which are necessary in life or death combat situations
A07008	usa	train	We should end the use of economic sanctions	in favor of	economic sanctions are used to bully other nations to act in your own interest, by harming the innocent citizens no less
A07009	usa	train	We should ban private military companies	in favor of	only governments can be trusted with armies so we should ban private military companies.
A07010	usa	train	We should legalize prostitution	against	it sets a bad example for younger generation and takes them away from the ethics of the society
A07011	usa	train	We should subsidize space exploration	against	there are much more important things to spend money on; space exploration is a low priority and should not be subsidized
A07012	usa	train	We should subsidize journalism	in favor of	journalism is more important than ever in an era of fake news and social media.
A07013	usa	train	Payday loans should be banned	against	a payday loan company serves the public.  they allow people that need their money now without waiting for the paycheck.  if people want to use these companies why should we stop them..
A07014	usa	train	We should abolish the Olympic Games	in favor of	we should abolish the olympic games because bring together different nations with radically different governments is dangerous.
A07015	usa	train	Foster care brings more harm than good	in favor of	most of the time a child put into foster care gets separated from their siblings.
A07016	usa	train	We should ban factory farming	in favor of	factory farming treats animals inhumanely, which is wrong and immoral.
A07018	usa	train	We should prohibit school prayer	in favor of	we need to prohibit school prayer, as not all people agree with it and it should not be forced on anyone
A07019	usa	train	We should end mandatory retirement	against	Setting a mandatory retirement age allows for the younger generations to move up the ladder and to better support their own families.
A07020	usa	train	We should abolish the Olympic Games	in favor of	the olympic games encourage animosity between countries
A07021	usa	train	We should adopt an austerity regime	against	austerity only leads to economic contraction that endangers the chance of reducing the debt.
A07022	usa	train	We should adopt gender-neutral language	in favor of	there are far more than two genders today, and thus, gender-neutral language only makes sense.
A07023	usa	train	We should abolish safe spaces	in favor of	safe places are not needed. people need to adjust to the world in which they live in and stop trying to always seek protection from the things they don't like.
A07024	usa	train	Payday loans should be banned	against	sometimes people need these emergency funds when they have no other available options.
A07025	usa	train	We should abolish capital punishment	in favor of	there are too many historical cases where innocent people have been put to death.
A07026	usa	train	We should adopt a multi-party system	in favor of	multi-party systems offer voters more choices and more representation.
A07027	usa	train	Social media brings more harm than good	against	social media connects family members from around the world.
A07028	usa	train	We should legalize polygamy	in favor of	polygamy is a functional arrangement for many people and should not be against the law.
A07029	usa	train	Surrogacy should be banned	against	sometimes the only way that people can have children of their own is by having a surrogate to carry the child.
A07030	usa	train	The use of public defenders should be mandatory	in favor of	this is a constitutional right under the 6th amendment so yes, it absolutely should be mandatory to protect this important right to defence
A07031	usa	train	We should abolish intellectual property rights	against	we cannot abolish intellectual property rights because artists and scientists need to have their ideas and innovations protected so that they can earn a living in their fields
A07032	usa	train	We should legalize prostitution	in favor of	with so much sexual freedom these days prostitution should now be legal.
A07033	usa	train	We should stop the development of autonomous cars	in favor of	they can cause accidents if the equipment fails.
A07034	usa	train	We should legalize cannabis	against	cannabis especially the skunk variety can be very harmful to people and can lead on to them using harder drugs so therefore it should be illegal.
A07035	usa	train	We should fight urbanization	against	urbanization will increase available housing which we need.
A07037	usa	train	We should ban fast food	against	we all have the right to eat what we want, to prohibit a specific type of food is an abuse of power
A07038	usa	train	We should abandon the use of school uniform	in favor of	Allowing students to make their own choices regarding the clothes they wear prepares them for the adult world.
A07040	usa	train	We should abandon marriage	against	children from parents who are committed to each other grow up to be more well adjusted
A07042	usa	train	Entrapment should be legalized	in favor of	entrapment is sometimes a necessary tool to get the needed proof of criminal activity.
A07043	usa	train	We should ban cosmetic surgery	in favor of	cosmetic surgery exists for vanity purposes doctors who offer the service should focus on treating people with real illnesses
A07044	usa	train	We should ban the Church of Scientology	in favor of	the church of scientology is a cult that is harming society.
A07045	usa	train	We should subsidize Wikipedia	against	there is no need to subsidize a site that isn't necessary
A07046	usa	train	We should adopt libertarianism	against	We should not adopt libertarianism because we need the government to provide essential services that are unprofitable.
A07048	usa	train	We should subsidize stay-at-home dads	in favor of	by subsidizing stay at home dads you are allowing them to form a bond with their child that they would never be able to have and still allow them enough money to supply their basic needs.
A07049	usa	train	We should abolish the right to keep and bear arms	against	the right to keep and bear arms is protected by our government and should be like that so people can defend their self.
A07050	usa	train	We should legalize cannabis	in favor of	cannabis should be legalized because it is no worse than alchohol.
A07051	usa	train	We should cancel pride parades	against	we should continue to support pride parades because everyone has the right to do what they want as long as it does not harm others.
A07052	usa	train	Intelligence tests bring more harm than good	against	intelligence tests help teachers and other school staff identify in where a student, or a whole group, is deficient.
A07053	usa	train	We should ban algorithmic trading	against	we should continue to support algorithmic trading as it gives orders a jump start rather than waiting until the complete order has been produced.
A07054	usa	train	We should end the use of economic sanctions	in favor of	if we end economic sanctions, then it would lead to a more fair trade market.
A07055	usa	train	We should abandon the use of school uniform	against	school uniforms are a good way to keep our kids from looking too sexualized from what they wear
A07056	usa	train	We should prohibit flag burning	in favor of	flag burning is disruptive to civil peace.
A07058	usa	train	We should ban the Church of Scientology	in favor of	the church of scientology is a predatory, litigation-happy organization that serves no good purpose in the world.
A07059	usa	train	We should abolish zoos	in favor of	animals in zoos have been repeatedly found to be malnourished and mistreated.
A07060	usa	train	We should legalize organ trade	in favor of	Organ sales increase the likelihood that people with rare blood types or conditions can find an organ.
A07061	usa	train	We should abolish the right to keep and bear arms	against	the right to bear arms is a fundamental right since the creation of  this country, and should be protected.
A07062	usa	train	We should stop the development of autonomous cars	against	the number of fatalities that can be prevented with autonomous cars makes the development a moral imperative.
A07063	usa	train	We should adopt a multi-party system	against	adopting a multi-party system leads to the formation weak and unstable coalition governments
A07065	usa	train	The vow of celibacy should be abandoned	against	celibacy goes in accordance with their religion so it wouldn't make sense to abandon it
A07066	usa	train	We should ban the use of child actors	against	not all tv and movies is going to be adults only we need child actors to shows the world as it is
A07068	usa	train	We should limit executive compensation	against	executives provide profits to shareholders and should be compensated accordingly
A07069	usa	train	We should subsidize embryonic stem cell research	against	it is against certain religious beliefs and can be seen as immoral
A07070	usa	train	Blockade of the Gaza Strip should be ended	in favor of	blockading the gaza strip is no longer necessary as both sides have come to an agreement
A07071	usa	train	We should close Guantanamo Bay detention camp	in favor of	Detainees at Guanatanamo Bay have been forced to endure cruel and humiliating treatment, such as waterboarding, sleep deprivation, and other physical abuse.
A07073	usa	train	We should ban the use of child actors	against	we should not ban the use of child actors because we would not have the shows and movies that are otherwise available.
A07074	usa	train	We should subsidize journalism	in favor of	Non-trustworthy news sources and fake news stories abound. We must subsidize investigative journalism in order to ensure we have reliable news sources that report real facts.
A07075	usa	train	We should ban cosmetic surgery for minors	against	We should not ban cosmetic surgery for minors because there are legitimate cases when it would improve a young person's mental health.
A07076	usa	train	We should adopt a zero-tolerance policy in schools	in favor of	bullies should not be given second chances. being victim to school bullying is a major risk factor for developing mental health problems like depression, anxiety, and even suicidal thoughts.
